1 1 0.000000 0.000000 0.000000
1 2 0.000252 0.002807 0.000000
1 3 0.001007 0.005576 0.000000
1 4 0.002264 0.008304 0.000000
1 5 0.004023 0.010991 0.000000
1 6 0.006281 0.013634 0.000000
1 7 0.009036 0.016233 0.000000
1 8 0.012285 0.018784 0.000000
1 9 0.016026 0.021286 0.000000
1 10 0.020254 0.023736 0.000000
1 11 0.024964 0.026130 0.000000
1 12 0.030154 0.028467 0.000000
1 13 0.035816 0.030743 0.000000
1 14 0.041946 0.032954 0.000000
1 15 0.048537 0.035099 0.000000
1 16 0.055582 0.037173 0.000000
1 17 0.063075 0.039174 0.000000
1 18 0.071008 0.041097 0.000000
1 19 0.079373 0.042941 0.000000
1 20 0.088162 0.044702 0.000000
1 21 0.097365 0.046377 0.000000
1 22 0.106973 0.047963 0.000000
1 23 0.116978 0.049459 0.000000
1 24 0.127368 0.050861 0.000000
1 25 0.138133 0.052167 0.000000
1 26 0.149263 0.053376 0.000000
1 27 0.160745 0.054486 0.000000
1 28 0.172570 0.055496 0.000000
1 29 0.184724 0.056404 0.000000
1 30 0.197195 0.057211 0.000000
1 31 0.209972 0.057915 0.000000
1 32 0.223040 0.058516 0.000000
1 33 0.236387 0.059015 0.000000
1 34 0.250000 0.059412 0.000000
1 35 0.263864 0.059709 0.000000
1 36 0.277967 0.059906 0.000000
1 37 0.292292 0.060004 0.000000
1 38 0.306827 0.060006 0.000000
1 39 0.321557 0.059914 0.000000
1 40 0.336466 0.059729 0.000000
1 41 0.351540 0.059454 0.000000
1 42 0.366763 0.059092 0.000000
1 43 0.382121 0.058646 0.000000
1 44 0.397597 0.058119 0.000000
1 45 0.413176 0.057513 0.000000
1 46 0.428843 0.056833 0.000000
1 47 0.444581 0.056081 0.000000
1 48 0.460375 0.055262 0.000000
1 49 0.476209 0.054378 0.000000
1 50 0.492067 0.053434 0.000000
1 51 0.507933 0.052433 0.000000
1 52 0.523791 0.051378 0.000000
1 53 0.539625 0.050274 0.000000
1 54 0.555419 0.049124 0.000000
1 55 0.571157 0.047932 0.000000
1 56 0.586824 0.046702 0.000000
1 57 0.602403 0.045436 0.000000
1 58 0.617879 0.044139 0.000000
1 59 0.633237 0.042813 0.000000
1 60 0.648460 0.041463 0.000000
1 61 0.663534 0.040092 0.000000
1 62 0.678443 0.038704 0.000000
1 63 0.693173 0.037300 0.000000
1 64 0.707708 0.035885 0.000000
1 65 0.722033 0.034462 0.000000
1 66 0.736136 0.033034 0.000000
1 67 0.750000 0.031603 0.000000
1 68 0.763613 0.030174 0.000000
1 69 0.776960 0.028748 0.000000
1 70 0.790028 0.027329 0.000000
1 71 0.802805 0.025920 0.000000
1 72 0.815276 0.024524 0.000000
1 73 0.827430 0.023143 0.000000
1 74 0.839255 0.021780 0.000000
1 75 0.850737 0.020439 0.000000
1 76 0.861867 0.019122 0.000000
1 77 0.872632 0.017831 0.000000
1 78 0.883022 0.016570 0.000000
1 79 0.893027 0.015342 0.000000
1 80 0.902635 0.014149 0.000000
1 81 0.911838 0.012993 0.000000
1 82 0.920627 0.011878 0.000000
1 83 0.928992 0.010805 0.000000
1 84 0.936925 0.009779 0.000000
1 85 0.944418 0.008800 0.000000
1 86 0.951463 0.007872 0.000000
1 87 0.958054 0.006997 0.000000
1 88 0.964184 0.006177 0.000000
1 89 0.969846 0.005414 0.000000
1 90 0.975036 0.004710 0.000000
1 91 0.979746 0.004067 0.000000
1 92 0.983974 0.003486 0.000000
1 93 0.987715 0.002971 0.000000
1 94 0.990964 0.002521 0.000000
1 95 0.993719 0.002138 0.000000
1 96 0.995977 0.001823 0.000000
1 97 0.997736 0.001577 0.000000
1 98 0.998993 0.001401 0.000000
1 99 0.999748 0.001295 0.000000
1 100 1.000000 0.001260 0.000000
1 101 0.999748 -0.001295 0.000000
1 102 0.998993 -0.001401 0.000000
1 103 0.997736 -0.001577 0.000000
1 104 0.995977 -0.001823 0.000000
1 105 0.993719 -0.002138 0.000000
1 106 0.990964 -0.002521 0.000000
1 107 0.987715 -0.002971 0.000000
1 108 0.983974 -0.003486 0.000000
1 109 0.979746 -0.004067 0.000000
1 110 0.975036 -0.004710 0.000000
1 111 0.969846 -0.005414 0.000000
1 112 0.964184 -0.006177 0.000000
1 113 0.958054 -0.006997 0.000000
1 114 0.951463 -0.007872 0.000000
1 115 0.944418 -0.008800 0.000000
1 116 0.936925 -0.009779 0.000000
1 117 0.928992 -0.010805 0.000000
1 118 0.920627 -0.011878 0.000000
1 119 0.911838 -0.012993 0.000000
1 120 0.902635 -0.014149 0.000000
1 121 0.893027 -0.015342 0.000000
1 122 0.883022 -0.016570 0.000000
1 123 0.872632 -0.017831 0.000000
1 124 0.861867 -0.019122 0.000000
1 125 0.850737 -0.020439 0.000000
1 126 0.839255 -0.021780 0.000000
1 127 0.827430 -0.023143 0.000000
1 128 0.815276 -0.024524 0.000000
1 129 0.802805 -0.025920 0.000000
1 130 0.790028 -0.027329 0.000000
1 131 0.776960 -0.028748 0.000000
1 132 0.763613 -0.030174 0.000000
1 133 0.750000 -0.031603 0.000000
1 134 0.736136 -0.033034 0.000000
1 135 0.722033 -0.034462 0.000000
1 136 0.707708 -0.035885 0.000000
1 137 0.693173 -0.037300 0.000000
1 138 0.678443 -0.038704 0.000000
1 139 0.663534 -0.040092 0.000000
1 140 0.648460 -0.041463 0.000000
1 141 0.633237 -0.042813 0.000000
1 142 0.617879 -0.044139 0.000000
1 143 0.602403 -0.045436 0.000000
1 144 0.586824 -0.046702 0.000000
1 145 0.571157 -0.047932 0.000000
1 146 0.555419 -0.049124 0.000000
1 147 0.539625 -0.050274 0.000000
1 148 0.523791 -0.051378 0.000000
1 149 0.507933 -0.052433 0.000000
1 150 0.492067 -0.053434 0.000000
1 151 0.476209 -0.054378 0.000000
1 152 0.460375 -0.055262 0.000000
1 153 0.444581 -0.056081 0.000000
1 154 0.428843 -0.056833 0.000000
1 155 0.413176 -0.057513 0.000000
1 156 0.397597 -0.058119 0.000000
1 157 0.382121 -0.058646 0.000000
1 158 0.366763 -0.059092 0.000000
1 159 0.351540 -0.059454 0.000000
1 160 0.336466 -0.059729 0.000000
1 161 0.321557 -0.059914 0.000000
1 162 0.306827 -0.060006 0.000000
1 163 0.292292 -0.060004 0.000000
1 164 0.277967 -0.059906 0.000000
1 165 0.263864 -0.059709 0.000000
1 166 0.250000 -0.059412 0.000000
1 167 0.236387 -0.059015 0.000000
1 168 0.223040 -0.058516 0.000000
1 169 0.209972 -0.057915 0.000000
1 170 0.197195 -0.057211 0.000000
1 171 0.184724 -0.056404 0.000000
1 172 0.172570 -0.055496 0.000000
1 173 0.160745 -0.054486 0.000000
1 174 0.149263 -0.053376 0.000000
1 175 0.138133 -0.052167 0.000000
1 176 0.127368 -0.050861 0.000000
1 177 0.116978 -0.049459 0.000000
1 178 0.106973 -0.047963 0.000000
1 179 0.097365 -0.046377 0.000000
1 180 0.088162 -0.044702 0.000000
1 181 0.079373 -0.042941 0.000000
1 182 0.071008 -0.041097 0.000000
1 183 0.063075 -0.039174 0.000000
1 184 0.055582 -0.037173 0.000000
1 185 0.048537 -0.035099 0.000000
1 186 0.041946 -0.032954 0.000000
1 187 0.035816 -0.030743 0.000000
1 188 0.030154 -0.028467 0.000000
1 189 0.024964 -0.026130 0.000000
1 190 0.020254 -0.023736 0.000000
1 191 0.016026 -0.021286 0.000000
1 192 0.012285 -0.018784 0.000000
1 193 0.009036 -0.016233 0.000000
1 194 0.006281 -0.013634 0.000000
1 195 0.004023 -0.010991 0.000000
1 196 0.002264 -0.008304 0.000000
1 197 0.001007 -0.005576 0.000000
1 198 0.000252 -0.002807 0.000000
